total,dealer,soft,can_double,pair,q_hit,q_stand,q_double,q_split,n_hit,n_stand,n_double,n_split
4,2,False,True,0,-0.11791044776119412,-0.33333333333333337,-0.574257425742574,0.0,670,87,101,0
4,2,False,True,2,-0.11363127240143396,-0.2794526070596687,-0.5692659112285589,-0.08942770747004272,89280,89296,89308,89290
4,3,False,True,0,-0.23976608187134507,-0.22299651567944245,-0.7636363636363636,0.0,171,574,110,0
4,3,False,True,2,-0.08746494523519734,-0.24573125463994022,-0.49721647844758987,-0.02579626217425639,18899,18858,18861,18995
4,4,False,True,0,-0.11026033690658511,-0.3279999999999999,-0.5225225225225226,0.0,653,125,111,0
4,4,False,True,2,-0.06435241575314661,-0.20499181669394406,-0.44702054098027216,0.0959917780061666,4926,4888,4917,4865
4,5,False,True,0,-0.012578616352201259,-0.24840764331210172,-0.5200000000000001,0.0,636,157,100,0
4,5,False,True,2,-0.016827672172016212,-0.17565947242206248,-0.33783378337833775,0.14272699665958094,3209,3336,3333,3293
4,6,False,True,0,0.0547667342799188,-0.24271844660194183,-0.18181818181818166,0.0,493,103,242,0
4,6,False,True,2,0.034370771312584585,-0.10195456946645542,-0.2422222222222221,0.1833016045689421,3695,3786,3600,3677
4,7,False,True,0,-0.0959666203059806,-0.44642857142857123,-0.8070175438596493,0.0,719,112,114,0
4,7,False,True,2,-0.10221707773127942,-0.47976158704741667,-0.9608780315100002,-0.023132145705929325,11231,11241,11298,11283
4,8,False,True,0,-0.17374517374517365,-0.37931034482758624,-0.6666666666666666,0.0,259,29,12,0
4,8,False,True,2,-0.15727546251840357,-0.5101816180517325,-1.0199848929060715,-0.1806824872641636,78105,78131,78109,78126
4,9,False,True,0,-0.2231404958677685,-1.0,-2.0,0.0,242,1,1,0
4,9,False,True,2,-0.2503980891719744,-0.5459244532803185,-1.0588235294117654,-0.41646586345381514,2512,2515,2516,2490
4,10,False,True,0,-1.0,-0.5791757049891545,-0.6666666666666667,0.0,1,922,6,0
4,10,False,True,2,-0.26120396391066475,-0.5422014192963901,-1.0587169811320802,-0.5188309731846932,6761,6623,6625,6638
4,11,False,True,0,-0.2812499999999999,-0.7142857142857142,-0.8235294117647057,0.0,320,28,34,0
4,11,False,True,2,-0.2856209150326796,-0.6044362292051753,-1.2213740458015256,-0.4356872635561164,1530,1623,1572,1586
5,2,False,True,0,-0.13553547622574413,-0.27182471756247945,-0.5447056804530644,0.0,6751,5842,5827,0
5,3,False,True,0,-0.07846687792364546,-0.27101809152181594,-0.4947710061305449,0.0,6627,5638,5546,0
5,4,False,True,0,-0.04739032981107899,-0.1884111459678903,-0.4072398190045247,0.0,6246,5419,5525,0
5,5,False,True,0,-0.024551214361140442,-0.1681635181170642,-0.3914478855525857,0.0,7576,6458,6361,0
5,6,False,True,0,0.03167848699763596,-0.11252963706000368,-0.1993499458288189,0.0,6345,5483,5538,0
5,7,False,True,0,-0.12039197386840887,-0.4509502783643695,-0.958484790510812,0.0,6429,5209,5227,0
5,8,False,True,0,-0.17047853624208287,-0.5085806581869565,-1.0080256821829843,0.0,5684,4953,4984,0
5,9,False,True,0,-0.2689135891000356,-0.5429257554532727,-1.0887211911074903,0.0,5578,4997,4903,0
5,10,False,True,0,-0.31173371162225144,-0.5215817000977083,-1.0857530989981259,0.0,19738,17399,17667,0
5,11,False,True,0,-0.27533039647577134,-0.5995475113122177,-1.2120535714285723,0.0,4086,3536,3584,0
6,2,False,False,0,-0.14814814814814817,-0.4666666666666667,0.0,0.0,189,60,0,0
6,2,False,True,0,-0.1346696781479382,-0.2728232189973606,-0.5561700656757695,0.0,7084,5685,5786,0
6,2,False,True,3,-0.13771065207668395,-0.2882198955435747,-0.5519613232963481,-0.13458915244902728,1024082,1024159,1024079,1024139
6,3,False,False,0,-0.1,-0.2962962962962963,0.0,0.0,110,54,0,0
6,3,False,True,0,-0.10410437618918196,-0.25663419549882455,-0.4973599046159082,0.0,7358,5954,5871,0
6,3,False,True,3,-0.11223720030174798,-0.2518254150158815,-0.4892760077278255,-0.06740614334470922,30489,30541,30539,30472
6,4,False,False,0,-0.28140703517587934,-0.3333333333333333,0.0,0.0,199,15,0,0
6,4,False,True,0,-0.07238307349665894,-0.2102741038911249,-0.3822769719848994,0.0,6286,5217,5033,0
6,4,False,True,3,-0.0671715508725717,-0.20236142997704173,-0.38624338624338567,0.0031229454306377804,6074,6098,6048,6084
