kind,total,dealer,state,best,ev_stand,ev_hit,ev_double,ev_split
hard,5,2,"(5, 2, False, True, 0)",hit,-0.29278372720927737,-0.12821556706374754,-0.5855674544185547,
hard,6,2,"(6, 2, False, True, 0)",hit,-0.29278372720927737,-0.14075911746001996,-0.5640583560296725,
hard,7,2,"(7, 2, False, True, 0)",hit,-0.29278372720927737,-0.10918342786661638,-0.4357578871045384,
hard,8,2,"(8, 2, False, True, 0)",hit,-0.29278372720927737,-0.021798188008805695,-0.20449052049882196,
hard,9,2,"(9, 2, False, True, 0)",hit,-0.29278372720927737,0.07444603757634054,0.061118503166597005,
hard,10,2,"(10, 2, False, True, 0)",double,-0.29278372720927737,0.18249999400904493,0.3589394124422992,
hard,11,2,"(11, 2, False, True, 0)",double,-0.29278372720927737,0.23835074945762982,0.470640923339469,
hard,12,2,"(12, 2, False, True, 0)",hit,-0.29278372720927737,-0.2533899859666381,-0.5067799719332762,
hard,13,2,"(13, 2, False, True, 0)",stand,-0.29278372720927737,-0.30779123771977057,-0.6155824754395411,
hard,14,2,"(14, 2, False, True, 0)",stand,-0.29278372720927737,-0.36219248947290306,-0.7243849789458061,
hard,15,2,"(15, 2, False, True, 0)",stand,-0.29278372720927737,-0.41659374122603565,-0.8331874824520713,
hard,16,2,"(16, 2, False, True, 0)",stand,-0.29278372720927737,-0.47099499297916814,-0.9419899859583363,
hard,17,2,"(17, 2, False, True, 0)",stand,-0.15297458768154204,-0.5361507939267419,-1.0723015878534838,
hard,18,2,"(18, 2, False, True, 0)",stand,0.12174190222088771,-0.6224386325591178,-1.2448772651182356,
hard,19,2,"(19, 2, False, True, 0)",stand,0.38630468602059,-0.7290774545607017,-1.4581549091214034,
soft,13,2,"(13, 2, True, True, 0)",hit,-0.29278372720927737,0.046636132695309515,-0.07156995790821605,
soft,14,2,"(14, 2, True, True, 0)",hit,-0.29278372720927737,0.02239185698783903,-0.07156995790821605,
soft,15,2,"(15, 2, True, True, 0)",hit,-0.29278372720927737,-0.00012068474052642254,-0.07156995790821608,
soft,16,2,"(16, 2, True, True, 0)",hit,-0.29278372720927737,-0.021025187774008622,-0.07156995790821603,
soft,17,2,"(17, 2, True, True, 0)",hit,-0.15297458768154204,-0.0004910435828891589,-0.007042662741568968,
soft,18,2,"(18, 2, True, True, 0)",stand,0.12174190222088771,0.06290506947151772,0.11974956336724477,
soft,19,2,"(19, 2, True, True, 0)",stand,0.38630468602059,0.12395801957914132,0.241855463582492,
soft,20,2,"(20, 2, True, True, 0)",stand,0.6399865752168389,0.18249999400904493,0.3589394124422992,
pair,2,2,"(4, 2, False, True, 2)",split,-0.29278372720927737,-0.1149133276189214,-0.5855674544185547,-0.08888724089711461
pair,3,2,"(6, 2, False, True, 3)",split,-0.29278372720927737,-0.14075911746001996,-0.5640583560296725,-0.13816353305492143
pair,4,2,"(8, 2, False, True, 4)",hit,-0.29278372720927737,-0.021798188008805695,-0.20449052049882196,-0.1669451794970592
pair,5,2,"(10, 2, False, True, 5)",double,-0.29278372720927737,0.18249999400904493,0.3589394124422992,-0.19354965838671145
pair,6,2,"(12, 2, False, True, 6)",split,-0.29278372720927737,-0.2533899859666381,-0.5067799719332762,-0.21863675917925632
pair,7,2,"(14, 2, False, True, 7)",split,-0.29278372720927737,-0.36219248947290306,-0.7243849789458061,-0.15548537999244913
pair,8,2,"(16, 2, False, True, 8)",split,-0.29278372720927737,-0.47099499297916814,-0.9419899859583363,0.01928509972317223
pair,9,2,"(18, 2, False, True, 9)",split,0.12174190222088771,-0.6224386325591178,-1.2448772651182356,0.18462902498065634
pair,10,2,"(20, 2, False, True, 10)",stand,0.6399865752168389,-0.85523026803892,-1.71046053607784,0.36499998801808986
pair,11,2,"(12, 2, True, True, 11)",split,-0.29278372720927737,0.08183621605165609,-0.07156995790821605,0.470640923339469
hard,5,3,"(5, 3, False, True, 0)",hit,-0.2522502292357135,-0.09531022726148984,-0.5045004584714271,
hard,6,3,"(6, 3, False, True, 0)",hit,-0.2522502292357135,-0.10729107800860833,-0.4837259988081748,
hard,7,3,"(7, 3, False, True, 0)",hit,-0.2522502292357135,-0.07658298190446353,-0.3597794964219525,
hard,8,3,"(8, 3, False, True, 0)",hit,-0.2522502292357135,0.008005262530654752,-0.13621609509408666,
hard,9,3,"(9, 3, False, True, 0)",double,-0.2522502292357135,0.10126470173887683,0.12081635332999668,
hard,10,3,"(10, 3, False, True, 0)",double,-0.2522502292357135,0.206087975813941,0.40932067017593937,
hard,11,3,"(11, 3, False, True, 0)",double,-0.2522502292357135,0.2603252672870798,0.517795253122217,
hard,12,3,"(12, 3, False, True, 0)",hit,-0.2522502292357135,-0.23369089979808655,-0.4673817995961731,
hard,13,3,"(13, 3, False, True, 0)",stand,-0.2522502292357135,-0.29121011293380095,-0.5824202258676019,
hard,14,3,"(14, 3, False, True, 0)",stand,-0.2522502292357135,-0.34872932606951523,-0.6974586521390305,
hard,15,3,"(15, 3, False, True, 0)",stand,-0.2522502292357135,-0.40624853920522963,-0.8124970784104593,
hard,16,3,"(16, 3, False, True, 0)",stand,-0.2522502292357135,-0.463767752340944,-0.927535504681888,
hard,17,3,"(17, 3, False, True, 0)",stand,-0.11721624142457354,-0.5316741953082844,-1.0633483906165688,
hard,18,3,"(18, 3, False, True, 0)",stand,0.14830007284131125,-0.6200049701422315,-1.240009940284463,
hard,19,3,"(19, 3, False, True, 0)",stand,0.4043629365977601,-0.7280328883420591,-1.4560657766841183,
soft,13,3,"(13, 3, True, True, 0)",hit,-0.2522502292357135,0.07411881339274413,-0.007228094510458347,
soft,14,3,"(14, 3, True, True, 0)",hit,-0.2522502292357135,0.050806738919282855,-0.007228094510458347,
soft,15,3,"(15, 3, True, True, 0)",hit,-0.2522502292357135,0.029159812622497405,-0.007228094510458402,
soft,16,3,"(16, 3, True, True, 0)",hit,-0.2522502292357135,0.009059095346910892,-0.007228094510458409,
soft,17,3,"(17, 3, True, True, 0)",double,-0.11721624142457354,0.028975282965620568,0.0550952844792985,
soft,18,3,"(18, 3, True, True, 0)",double,0.14830007284131125,0.09024827856544015,0.17764127567893773,
soft,19,3,"(19, 3, True, True, 0)",stand,0.4043629365977601,0.14933970866308222,0.29582413587422185,
soft,20,3,"(20, 3, True, True, 0)",stand,0.6502720942514815,0.206087975813941,0.40932067017593937,
pair,2,3,"(4, 3, False, True, 2)",split,-0.2522502292357135,-0.08261331429974432,-0.5045004584714271,-0.02561613047924621
pair,3,3,"(6, 3, False, True, 3)",split,-0.2522502292357135,-0.10729107800860833,-0.4837259988081748,-0.06386643474421719
pair,4,3,"(8, 3, False, True, 4)",hit,-0.2522502292357135,0.008005262530654752,-0.13621609509408666,-0.0913413467859109
pair,5,3,"(10, 3, False, True, 5)",double,-0.2522502292357135,0.206087975813941,0.40932067017593937,-0.11673517270940191
pair,6,3,"(12, 3, False, True, 6)",split,-0.2522502292357135,-0.23369089979808655,-0.4673817995961731,-0.1366784124323038
pair,7,3,"(14, 3, False, True, 7)",split,-0.2522502292357135,-0.34872932606951523,-0.6974586521390305,-0.0747666507895606
pair,8,3,"(16, 3, False, True, 8)",split,-0.2522502292357135,-0.463767752340944,-0.927535504681888,0.08688786047625346
pair,9,3,"(18, 3, False, True, 9)",split,0.14830007284131125,-0.6200049701422315,-1.240009940284463,0.24214017052931325
pair,10,3,"(20, 3, False, True, 10)",stand,0.6502720942514815,-0.8549768955921732,-1.7099537911843463,0.412175951627882
pair,11,3,"(12, 3, True, True, 11)",split,-0.2522502292357135,0.10350704654207785,-0.007228094510458319,0.517795253122217
hard,5,4,"(5, 4, False, True, 0)",hit,-0.21106310899491437,-0.06147946419969428,-0.42212621798982886,
hard,6,4,"(6, 4, False, True, 0)",hit,-0.21106310899491437,-0.07291714192638733,-0.4020508740129676,
hard,7,4,"(7, 4, False, True, 0)",hit,-0.21106310899491437,-0.043021794004341904,-0.28229906574509145,
hard,8,4,"(8, 4, False, True, 0)",hit,-0.21106310899491437,0.038784473277208784,-0.06637207115265838,
hard,9,4,"(9, 4, False, True, 0)",double,-0.21106310899491437,0.12898088119574175,0.18194893405242163,
hard,10,4,"(10, 4, False, True, 0)",double,-0.21106310899491437,0.23047012189717694,0.4609402437943539,
hard,11,4,"(11, 4, False, True, 0)",double,-0.21106310899491437,0.2830202752089879,0.5660405504179759,
hard,12,4,"(12, 4, False, True, 0)",stand,-0.21106310899491437,-0.213536553245077,-0.427073106490154,
hard,13,4,"(13, 4, False, True, 0)",stand,-0.21106310899491437,-0.2742240063993144,-0.5484480127986288,
hard,14,4,"(14, 4, False, True, 0)",stand,-0.21106310899491437,-0.3349114595535517,-0.6698229191071035,
hard,15,4,"(15, 4, False, True, 0)",stand,-0.21106310899491437,-0.3955989127077891,-0.7911978254155781,
hard,16,4,"(16, 4, False, True, 0)",stand,-0.21106310899491437,-0.4562863658620264,-0.9125727317240528,
hard,17,4,"(17, 4, False, True, 0)",stand,-0.08057337314531615,-0.5270114910046944,-1.0540229820093887,
hard,18,4,"(18, 4, False, True, 0)",stand,0.17585443719748522,-0.6174618323275779,-1.2349236646551558,
hard,19,4,"(19, 4, False, True, 0)",stand,0.42317892482749647,-0.7269371342373854,-1.4538742684747707,
soft,13,4,"(13, 4, True, True, 0)",hit,-0.21106310899491437,0.10247714687203514,0.05842651874374485,
soft,14,4,"(14, 4, True, True, 0)",hit,-0.21106310899491437,0.08008141431011018,0.05842651874374485,
soft,15,4,"(15, 4, True, True, 0)",hit,-0.21106310899491437,0.05928537693117985,0.05842651874374485,
soft,16,4,"(16, 4, True, True, 0)",double,-0.21106310899491437,0.0399747707936017,0.05842651874374486,
soft,17,4,"(17, 4, True, True, 0)",double,-0.08057337314531615,0.05932627533716435,0.1186525506743287,
soft,18,4,"(18, 4, True, True, 0)",double,0.17585443719748522,0.11850192387781083,0.23700384775562167,
soft,19,4,"(19, 4, True, True, 0)",stand,0.42317892482749647,0.17557680563858263,0.35115361127716527,
soft,20,4,"(20, 4, True, True, 0)",stand,0.6610499619480718,0.23047012189717694,0.4609402437943539,
pair,2,4,"(4, 4, False, True, 2)",split,-0.21106310899491437,-0.04936742010691695,-0.42212621798982886,0.0429466295687688
pair,3,4,"(6, 4, False, True, 3)",split,-0.21106310899491437,-0.07291714192638733,-0.4020508740129676,0.014624872422626913
pair,4,4,"(8, 4, False, True, 4)",hit,-0.21106310899491437,0.038784473277208784,-0.06637207115265838,-0.01158738637339623
pair,5,4,"(10, 4, False, True, 5)",double,-0.21106310899491437,0.23047012189717694,0.4609402437943539,-0.03297274410508268
pair,6,4,"(12, 4, False, True, 6)",split,-0.21106310899491437,-0.213536553245077,-0.427073106490154,-0.049559710729696324
pair,7,4,"(14, 4, False, True, 7)",split,-0.21106310899491437,-0.3349114595535517,-0.6698229191071035,0.010511467456082564
