kind,total,dealer,state,best,ev_stand,ev_hit,ev_double,ev_split
pair,4,4,"(8, 4, False, True, 4)",hit,-0.20584968608305465,0.03701077509451457,-0.06815133225373485,-0.006940376395594283
pair,5,4,"(10, 4, False, True, 5)",double,-0.20584968608305465,0.22962110185909185,0.4592422037181837,-0.027828362970327956
pair,6,4,"(12, 4, False, True, 6)",split,-0.20584968608305465,-0.2138385957920505,-0.427677191584101,-0.044217349240772946
pair,7,4,"(14, 4, False, True, 7)",split,-0.20584968608305465,-0.33601556716388825,-0.6720311343277765,0.011477150892541942
pair,8,4,"(16, 4, False, True, 8)",split,-0.20584968608305465,-0.458192538535726,-0.916385077071452,0.15285606768316096
pair,9,4,"(18, 4, False, True, 9)",split,0.1662690025225767,-0.618409842350371,-1.236819684700742,0.2986851853065495
pair,10,4,"(20, 4, False, True, 10)",stand,0.6569419185159682,-0.8548155426803679,-1.7096310853607357,0.4592422037181837
pair,11,4,"(12, 4, True, True, 11)",split,-0.20584968608305465,0.12678682176669256,0.06103069390325,0.5656065237055299
hard,5,5,"(5, 5, False, True, 0)",hit,-0.16468249424828368,-0.02272205059969438,-0.32936498849656737,
hard,6,5,"(6, 5, False, True, 0)",hit,-0.16468249424828368,-0.033548869940164656,-0.31115592087707267,
hard,7,5,"(7, 5, False, True, 0)",hit,-0.16468249424828368,-0.007177266764625569,-0.2012012595668129,
hard,8,5,"(8, 5, False, True, 0)",hit,-0.16468249424828368,0.06995063315432906,0.002599762214086601,
hard,9,5,"(9, 5, False, True, 0)",double,-0.16468249424828368,0.1573614483811529,0.24211866364068396,
hard,10,5,"(10, 5, False, True, 0)",double,-0.16468249424828368,0.2558497670758891,0.5116995341517782,
hard,11,5,"(11, 5, False, True, 0)",double,-0.16468249424828368,0.30724502104225837,0.6144900420845167,
hard,12,5,"(12, 5, False, True, 0)",stand,-0.16468249424828368,-0.19341659731927074,-0.3868331946385415,
hard,13,5,"(13, 5, False, True, 0)",stand,-0.16468249424828368,-0.2576717900694028,-0.5153435801388055,
hard,14,5,"(14, 5, False, True, 0)",stand,-0.16468249424828368,-0.3219269828195348,-0.6438539656390696,
hard,15,5,"(15, 5, False, True, 0)",stand,-0.16468249424828368,-0.38618217556966683,-0.7723643511393337,
hard,16,5,"(16, 5, False, True, 0)",stand,-0.16468249424828368,-0.45043736831979886,-0.9008747366395977,
hard,17,5,"(17, 5, False, True, 0)",stand,-0.04632355472156813,-0.5237970948796783,-1.0475941897593566,
hard,18,5,"(18, 5, False, True, 0)",stand,0.1949459856882581,-0.6157160168556981,-1.2314320337113962,
hard,19,5,"(19, 5, False, True, 0)",stand,0.43621552609808434,-0.7261941342478585,-1.452388268495717,
soft,13,5,"(13, 5, True, True, 0)",hit,-0.16468249424828368,0.13362751686623547,0.12720834736251474,
soft,14,5,"(14, 5, True, True, 0)",double,-0.16468249424828368,0.11231965892948412,0.12720834736251474,
soft,15,5,"(15, 5, True, True, 0)",double,-0.16468249424828368,0.09253379084535784,0.12720834736251474,
soft,16,5,"(16, 5, True, True, 0)",double,-0.16468249424828368,0.07416119905295487,0.12720834736251474,
soft,17,5,"(17, 5, True, True, 0)",double,-0.04632355472156813,0.09091777511049942,0.18183555022099884,
soft,18,5,"(18, 5, True, True, 0)",double,0.1949459856882581,0.14659536135892087,0.29319072271784175,
soft,19,5,"(19, 5, True, True, 0)",stand,0.43621552609808434,0.2022729476073423,0.4045458952146846,
soft,20,5,"(20, 5, True, True, 0)",stand,0.6683817437951204,0.2558497670758891,0.5116995341517782,
pair,2,5,"(4, 5, False, True, 2)",split,-0.16468249424828368,-0.011221572438115774,-0.32936498849656737,0.12899794664027822
pair,3,5,"(6, 5, False, True, 3)",split,-0.16468249424828368,-0.033548869940164656,-0.31115592087707267,0.10440100951506459
pair,4,5,"(8, 5, False, True, 4)",split,-0.16468249424828368,0.06995063315432906,0.002599762214086601,0.08256094126143546
pair,5,5,"(10, 5, False, True, 5)",double,-0.16468249424828368,0.2558497670758891,0.5116995341517782,0.062386537521724815
pair,6,5,"(12, 5, False, True, 6)",split,-0.16468249424828368,-0.19341659731927074,-0.3868331946385415,0.04655914911785189
pair,7,5,"(14, 5, False, True, 7)",split,-0.16468249424828368,-0.3219269828195348,-0.6438539656390696,0.10042958037955843
pair,8,5,"(16, 5, False, True, 8)",split,-0.16468249424828368,-0.45043736831979886,-0.9008747366395977,0.22653123371145
pair,9,5,"(18, 5, False, True, 9)",split,0.1949459856882581,-0.6157160168556981,-1.2314320337113962,0.36199136153803785
pair,10,5,"(20, 5, False, True, 10)",stand,0.6683817437951204,-0.8545311914628677,-1.7090623829257354,0.5116995341517782
pair,11,5,"(12, 5, True, True, 11)",split,-0.16468249424828368,0.15657444079812155,0.12720834736251474,0.6144900420845167
hard,5,6,"(5, 6, False, True, 0)",hit,-0.12106685019651231,0.015153619459709689,-0.24213370039302462,
hard,6,6,"(6, 6, False, True, 0)",hit,-0.12106685019651231,0.004766508539315303,-0.2244663647263341,
hard,7,6,"(7, 6, False, True, 0)",hit,-0.12106685019651231,0.03040856615196181,-0.11846235072619107,
hard,8,6,"(8, 6, False, True, 0)",hit,-0.12106685019651231,0.10385811332306305,0.07587834160740449,
hard,9,6,"(9, 6, False, True, 0)",double,-0.12106685019651231,0.18730353674754283,0.3048534496810895,
hard,10,6,"(10, 6, False, True, 0)",double,-0.12106685019651231,0.2824808477642031,0.5649616955284062,
hard,11,6,"(11, 6, False, True, 0)",double,-0.12106685019651231,0.3323317045944627,0.6646634091889254,
hard,12,6,"(12, 6, False, True, 0)",stand,-0.12106685019651231,-0.17241676251641377,-0.34483352503282755,
hard,13,6,"(13, 6, False, True, 0)",stand,-0.12106685019651231,-0.24002700480898978,-0.48005400961797956,
hard,14,6,"(14, 6, False, True, 0)",stand,-0.12106685019651231,-0.3076372471015657,-0.6152744942031314,
hard,15,6,"(15, 6, False, True, 0)",stand,-0.12106685019651231,-0.3752474893941417,-0.7504949787882834,
hard,16,6,"(16, 6, False, True, 0)",stand,-0.12106685019651231,-0.4428577316867177,-0.8857154633734354,
hard,17,6,"(17, 6, False, True, 0)",stand,-0.006229168363024007,-0.5193016418126389,-1.0386032836252779,
hard,18,6,"(18, 6, False, True, 0)",stand,0.22344619530395254,-0.6134128876052507,-1.2268257752105014,
hard,19,6,"(19, 6, False, True, 0)",stand,0.4531215589709291,-0.7251914690645529,-1.4503829381291058,
soft,13,6,"(13, 6, True, True, 0)",double,-0.12106685019651231,0.16513483022847517,0.19604841330778022,
